0_x,0_y,1_x,1_y,2_x,2_y
102.316851,2.122279,103.335901,1.867529,101.807326,2.377030
100.278750,2.377030,101.043038,3.396033,100.788276,2.377030
97.221600,1.867529,98.750175,2.631781,97.731125,2.122279
96.712075,3.396033,97.731125,2.122279,97.221600,2.631781
93.654924,2.122279,94.673974,2.631781,93.909686,3.396033
93.145399,3.141282,93.654924,2.377030,92.890636,1.867529
89.578723,3.650784,91.616823,2.886532,90.852536,3.650784
88.304910,4.160285,89.578723,3.650784,88.559672,2.377030
86.521572,3.905535,87.285860,4.415036,87.285860,4.415036
83.464421,4.415036,85.502522,3.141282,83.464421,3.905535
82.190608,5.179289,83.464421,5.179289,83.209659,5.179289
80.152508,4.669787,81.681083,4.924538,80.152508,5.179289
78.369170,5.434039,80.152508,6.453042,78.878695,5.434039
75.821544,5.943541,76.840594,5.943541,76.331069,5.943541
74.802494,6.707793,75.566782,5.943541,75.057257,6.453042
72.000106,6.707793,73.528681,6.962544,72.764393,6.707793
71.235818,7.217295,71.490581,7.472045,70.981055,6.707793
67.923905,7.726796,69.707243,7.472045,68.688192,8.236298
66.395329,7.981547,67.923905,7.217295,66.140567,7.217295
64.357229,9.510051,65.631042,9.000550,65.376279,8.491048
62.828653,7.981547,63.847704,8.236298,62.319128,7.981547
60.535790,9.510051,61.809603,9.255301,61.809603,9.764802
58.752452,9.000550,59.261978,8.745799,58.752452,9.255301
57.223877,9.255301,58.752452,9.000550,57.988165,9.255301
54.421489,9.510051,55.185776,9.510051,54.931014,9.255301
53.657201,9.255301,54.421489,8.745799,52.892913,9.764802
50.345288,9.000550,51.109575,10.019553,51.109575,9.510051
49.581000,9.000550,49.835763,8.491048,49.326237,8.745799
46.778612,10.019553,48.052425,10.019553,47.797662,9.510051
44.995274,8.236298,46.269087,8.491048,44.485749,8.236298
42.957173,9.000550,44.995274,9.510051,44.230986,9.764802
40.919073,7.726796,41.428598,8.236298,40.664310,7.726796
39.135735,9.000550,40.664310,9.000550,39.900023,8.491048
36.333347,8.236298,37.607160,7.726796,36.588109,7.981547
