0_x,0_y,1_x,1_y
30.809666,-5.010742,32.083472,-4.755991
28.516814,-3.482237,29.535859,-3.227487
28.262053,-4.755991,29.026337,-5.010742
26.478724,-3.482237,28.262053,-3.991739
25.714440,-5.010742,26.223962,-4.246490
24.695395,-3.991739,26.478724,-3.991739
23.676349,-4.246490,23.931111,-4.501240
23.166827,-3.991739,24.440633,-4.755991
20.873975,-4.246490,22.147781,-2.972736
20.873975,-4.501240,21.383498,-4.501240
18.835885,-3.227487,19.854930,-3.736988
18.326362,-4.755991,20.364452,-4.755991
16.288271,-3.482237,18.071601,-3.227487
15.778749,-4.755991,17.307317,-4.501240
15.014465,-3.482237,16.288271,-2.972736
13.740658,-4.246490,15.014465,-3.991739
12.721613,-4.246490,13.995420,-3.991739
11.702568,-3.991739,12.212091,-4.246490
11.447807,-4.246490,12.721613,-4.246490
8.645432,-3.482237,10.174000,-4.501240
8.900194,-4.501240,10.174000,-4.501240
6.862103,-3.736988,8.135910,-3.736988
7.116864,-5.010742,8.390671,-5.010742
5.333535,-3.482237,6.097819,-3.227487
4.314490,-4.755991,5.588297,-4.755991
3.040683,-3.482237,4.059729,-3.227487
2.276400,-3.991739,3.040683,-4.246490
1.002593,-3.991739,2.021638,-4.501240
-0.271214,-4.246490,0.747832,-4.246490
-0.525975,-3.991739,0.747832,-4.246490
-2.818827,-4.501240,-1.799781,-3.991739
-3.073588,-3.991739,-1.799781,-4.755991
-4.856917,-3.227487,-4.092633,-3.227487
-5.621201,-4.755991,-4.602156,-5.010742
-6.895008,-4.246490,-5.366440,-3.482237
-7.404530,-4.246490,-6.385485,-4.755991
-8.933098,-4.501240,-7.149769,-4.246490
-9.697382,-4.501240,-8.933098,-4.246490
-10.461666,-4.246490,-9.187859,-4.755991
-12.499756,-4.246490,-11.735472,-4.246490
-12.499756,-5.010742,-11.225950,-3.991739
-14.792608,-3.991739,-13.264040,-4.246490
-14.283085,-3.991739,-13.518802,-5.265493
-17.085460,-4.246490,-15.302131,-3.991739
-17.594982,-4.755991,-16.321176,-4.755991
-18.359266,-3.736988,-17.085460,-3.736988
-19.378312,-4.501240,-18.104505,-4.501240
-20.652118,-4.246490,-19.378312,-4.246490
-21.925925,-4.501240,-20.142596,-4.246490
-22.435447,-4.246490,-21.416402,-4.246490
-24.473538,-4.246490,-23.199731,-4.246490
-24.218776,-3.736988,-22.944970,-4.246490
-26.766390,-3.736988,-25.747344,-4.246490
-26.002106,-5.010742,-25.237822,-4.755991
-28.549719,-4.501240,-27.530673,-3.736988
